phi,Z,Su_m_per_s,n_points,width_m,solve_time_s
0.7,0.03403810285475287,0.19422533656679836,269,0.06,15.068350000000464
0.7583333333333333,0.03718978206604985,0.24083443501772803,291,0.06,7.1303430999996635
0.8166666666666667,0.040320961963142055,0.2844096256459852,314,0.06,5.668677599999683
0.875,0.04343184189675828,0.3226288283577402,329,0.06,4.264034200000424
0.9333333333333332,0.04652261864113094,0.3533893020469254,336,0.06,3.2441079000000173
0.9916666666666666,0.04959348643548675,0.3745099660639315,338,0.06,3.205412499999511
1.0499999999999998,0.052644637024738136,0.38358176408762223,340,0.06,3.278064000000086
1.1083333333333332,0.055676259699393445,0.3781705906719464,340,0.06,3.538248400000157
1.1666666666666665,0.05868854133470319,0.35554769038233325,340,0.06,2.328608499999973
1.2249999999999999,0.06168166642905954,0.31387685774043733,343,0.06,3.599975000000086
1.2833333333333332,0.06465581714166545,0.2556388823729716,362,0.06,5.803435700000591
1.3416666666666666,0.06761117332948978,0.19279111487376316,380,0.06,5.96302360000027
1.4,0.07054791258352387,0.14073091437458446,403,0.06,6.369320400000106
